title,link
"In Telangana, land records portal the site of latest Congress-TRS battle",{'https://news.google.com/articles/CBMigwFodHRwczovL2luZGlhbmV4cHJlc3MuY29tL2FydGljbGUvY2l0aWVzL2h5ZGVyYWJhZC9pbi10ZWxhbmdhbmEtbGFuZC1yZWNvcmRzLXBvcnRhbC10aGUtc2l0ZS1vZi1sYXRlc3QtY29uZ3Jlc3MtdHJzLWJhdHRsZS04MzEwMjczL9IBAA?hl=en-IN&gl=IN&ceid=IN%3Aen'}
BCC&I to organize 'SmartAgri Summit' in Hyderabad on Dec 9,{'https://news.google.com/articles/CBMic2h0dHA6Ly93d3cudW5paW5kaWEuY29tL2JjYy1pLXRvLW9yZ2FuaXplLXNtYXJ0YWdyaS1zdW1taXQtaW4taHlkZXJhYmFkLW9uLWRlYy05L2J1c2luZXNzLWVjb25vbXkvbmV3cy8yODczODExLmh0bWzSAQA?hl=en-IN&gl=IN&ceid=IN%3Aen'}
"ICRISAT, PJTSAU join hands to boost groundnut production across Telangana",{'https://news.google.com/articles/CBMibmh0dHBzOi8vd3d3LnNpYXNhdC5jb20vdGVsYW5nYW5hLWljcmlzYXQtcGp0c2F1LWpvaW4taGFuZHMtdG8tYm9vc3QtZ3JvdW5kbnV0LXByb2R1Y3Rpb24tYWNyb3NzLXN0YXRlLTI0NjUyMjkv0gFyaHR0cHM6Ly93d3cuc2lhc2F0LmNvbS90ZWxhbmdhbmEtaWNyaXNhdC1wanRzYXUtam9pbi1oYW5kcy10by1ib29zdC1ncm91bmRudXQtcHJvZHVjdGlvbi1hY3Jvc3Mtc3RhdGUtMjQ2NTIyOS9hbXAv?hl=en-IN&gl=IN&ceid=IN%3Aen'}
"As Telangana claims it will revalidate cheques, farmers say, 'help never came'",{'https://news.google.com/articles/CBMiWmh0dHBzOi8vaW5kaWFuZXhwcmVzcy5jb20vYXJ0aWNsZS9jaXRpZXMvaHlkZXJhYmFkL3RlbGFuZ2FuYS1jaGVxdWVzLWZhcm1lcnMtaGVscC04MzAzNDQ2L9IBAA?hl=en-IN&gl=IN&ceid=IN%3Aen'}
"Hyderabad: PJTSAU, CGIAR-IRRI organises 3-day training program for plant breeders",{'https://news.google.com/articles/CBMiamh0dHBzOi8vdGVsYW5nYW5hdG9kYXkuY29tL2h5ZGVyYWJhZC1wanRzYXUtY2dpYXItaXJyaS1vcmdhbmlzZXMtMy1kYXktdHJhaW5pbmctcHJvZ3JhbS1mb3ItcGxhbnQtYnJlZWRlcnPSAQA?hl=en-IN&gl=IN&ceid=IN%3Aen'}
"Farmers in Andhra Pradesh are facing ‘untold hardships’ under YSRCP tenure, alleges TDP leader",{'https://news.google.com/articles/CBMipQFodHRwczovL3d3dy50aGVoaW5kdS5jb20vbmV3cy9uYXRpb25hbC9hbmRocmEtcHJhZGVzaC9mYXJtZXJzLWluLWFuZGhyYS1wcmFkZXNoLWFyZS1mYWNpbmctdW50b2xkLWhhcmRzaGlwcy11bmRlci15c3JjcC10ZW51cmUtYWxsZWdlcy10ZHAtbGVhZGVyL2FydGljbGU2NjIyMjc5NC5lY2XSAaoBaHR0cHM6Ly93d3cudGhlaGluZHUuY29tL25ld3MvbmF0aW9uYWwvYW5kaHJhLXByYWRlc2gvZmFybWVycy1pbi1hbmRocmEtcHJhZGVzaC1hcmUtZmFjaW5nLXVudG9sZC1oYXJkc2hpcHMtdW5kZXIteXNyY3AtdGVudXJlLWFsbGVnZXMtdGRwLWxlYWRlci9hcnRpY2xlNjYyMjI3OTQuZWNlL2FtcC8?hl=en-IN&gl=IN&ceid=IN%3Aen'}
TRS switches to national mode,{'https://news.google.com/articles/CBMiWWh0dHBzOi8vd3d3LmRlY2NhbmNocm9uaWNsZS5jb20vbmF0aW9uL3BvbGl0aWNzLzA3MTIyMi90cnMtc3dpdGNoZXMtdG8tbmF0aW9uYWwtbW9kZS5odG1s0gFdaHR0cHM6Ly93d3cuZGVjY2FuY2hyb25pY2xlLmNvbS9hbXAvbmF0aW9uL3BvbGl0aWNzLzA3MTIyMi90cnMtc3dpdGNoZXMtdG8tbmF0aW9uYWwtbW9kZS5odG1s?hl=en-IN&gl=IN&ceid=IN%3Aen'}
Top Telangana news developments today,{'https://news.google.com/articles/CBMid2h0dHBzOi8vd3d3LnRoZWhpbmR1LmNvbS9uZXdzL25hdGlvbmFsL3RlbGFuZ2FuYS90b3AtdGVsYW5nYW5hLW5ld3MtZGV2ZWxvcG1lbnRzLW9uLW5vdmVtYmVyLTktMjAyMi9hcnRpY2xlNjYxMTM4NTQuZWNl0gF8aHR0cHM6Ly93d3cudGhlaGluZHUuY29tL25ld3MvbmF0aW9uYWwvdGVsYW5nYW5hL3RvcC10ZWxhbmdhbmEtbmV3cy1kZXZlbG9wbWVudHMtb24tbm92ZW1iZXItOS0yMDIyL2FydGljbGU2NjExMzg1NC5lY2UvYW1wLw?hl=en-IN&gl=IN&ceid=IN%3Aen'}
Tribunal only way to resolve Krishna water dispute: Experts,{'https://news.google.com/articles/CBMihQFodHRwczovL3d3dy5uZXdpbmRpYW5leHByZXNzLmNvbS9zdGF0ZXMvdGVsYW5nYW5hLzIwMjIvZGVjLzA3L3RyaWJ1bmFsLW9ubHktd2F5LXRvLXJlc29sdmUta3Jpc2huYS13YXRlci1kaXNwdXRlLWV4cGVydHMtMjUyNTc5Ny5odG1s0gGEAWh0dHBzOi8vd3d3Lm5ld2luZGlhbmV4cHJlc3MuY29tL3N0YXRlcy90ZWxhbmdhbmEvMjAyMi9kZWMvMDcvdHJpYnVuYWwtb25seS13YXktdG8tcmVzb2x2ZS1rcmlzaG5hLXdhdGVyLWRpc3B1dGUtZXhwZXJ0cy0yNTI1Nzk3LmFtcA?hl=en-IN&gl=IN&ceid=IN%3Aen'}
TS EAMCET BiPC 2022: 98.31% seats allotted in first phase,{'https://news.google.com/articles/CBMiV2h0dHBzOi8vd3d3LnNpYXNhdC5jb20vdHMtZWFtY2V0LWJpcGMtMjAyMi05OC0zMS1zZWF0cy1hbGxvdHRlZC1pbi1maXJzdC1waGFzZS0yNDUyMTk5L9IBW2h0dHBzOi8vd3d3LnNpYXNhdC5jb20vdHMtZWFtY2V0LWJpcGMtMjAyMi05OC0zMS1zZWF0cy1hbGxvdHRlZC1pbi1maXJzdC1waGFzZS0yNDUyMTk5L2FtcC8?hl=en-IN&gl=IN&ceid=IN%3Aen'}
"Livestock, fisheries push agriculture GVA",{'https://news.google.com/articles/CBMiWmh0dHBzOi8vd3d3LmZpbmFuY2lhbGV4cHJlc3MuY29tL2Vjb25vbXkvbGl2ZXN0b2NrLWZpc2hlcmllcy1wdXNoLWFncmljdWx0dXJlLWd2YS8yOTAwMjgyL9IBX2h0dHBzOi8vd3d3LmZpbmFuY2lhbGV4cHJlc3MuY29tL2Vjb25vbXkvbGl2ZXN0b2NrLWZpc2hlcmllcy1wdXNoLWFncmljdWx0dXJlLWd2YS8yOTAwMjgyL2xpdGUv?hl=en-IN&gl=IN&ceid=IN%3Aen'}
Telangana: Irregularities in Dalit Bandhu scheme found by FFGG,{'https://news.google.com/articles/CBMiXWh0dHBzOi8vd3d3LnNpYXNhdC5jb20vdGVsYW5nYW5hLWlycmVndWxhcml0aWVzLWluLWRhbGl0LWJhbmRodS1zY2hlbWUtZm91bmQtYnktZmZnZy0yNDY4MDkwL9IBYWh0dHBzOi8vd3d3LnNpYXNhdC5jb20vdGVsYW5nYW5hLWlycmVndWxhcml0aWVzLWluLWRhbGl0LWJhbmRodS1zY2hlbWUtZm91bmQtYnktZmZnZy0yNDY4MDkwL2FtcC8?hl=en-IN&gl=IN&ceid=IN%3Aen'}
Discoms for continuation of existing tariff for 2023-24,{'https://news.google.com/articles/CBMibWh0dHBzOi8vd3d3LnRoZWhpbmR1LmNvbS9pbmNvbWluZy9kaXNjb21zLWZvci1jb250aW51YXRpb24tb2YtZXhpc3RpbmctdGFyaWZmLWZvci0yMDIzLTI0L2FydGljbGU2NjIwNjY3My5lY2XSAXJodHRwczovL3d3dy50aGVoaW5kdS5jb20vaW5jb21pbmcvZGlzY29tcy1mb3ItY29udGludWF0aW9uLW9mLWV4aXN0aW5nLXRhcmlmZi1mb3ItMjAyMy0yNC9hcnRpY2xlNjYyMDY2NzMuZWNlL2FtcC8?hl=en-IN&gl=IN&ceid=IN%3Aen'}
"Villages bordering TS, Maharashtra in fear over tiger attacks",{'https://news.google.com/articles/CBMifWh0dHBzOi8vd3d3LmRlY2NhbmNocm9uaWNsZS5jb20vbmF0aW9uL2luLW90aGVyLW5ld3MvMDUxMjIyL3ZpbGxhZ2VzLWJvcmRlcmluZy10cy1tYWhhcmFzaHRyYS1pbi1mZWFyLW92ZXItdGlnZXItYXR0YWNrcy5odG1s0gGBAWh0dHBzOi8vd3d3LmRlY2NhbmNocm9uaWNsZS5jb20vYW1wL25hdGlvbi9pbi1vdGhlci1uZXdzLzA1MTIyMi92aWxsYWdlcy1ib3JkZXJpbmctdHMtbWFoYXJhc2h0cmEtaW4tZmVhci1vdmVyLXRpZ2VyLWF0dGFja3MuaHRtbA?hl=en-IN&gl=IN&ceid=IN%3Aen'}
Telangana nudging farmers to shift to oil palm: Minister KT Rama Rao,{'https://news.google.com/articles/CBMiXmh0dHBzOi8vdGVsYW5nYW5hdG9kYXkuY29tL3RlbGFuZ2FuYS1udWRnaW5nLWZhcm1lcnMtdG8tc2hpZnQtdG8tb2lsLXBhbG0tbWluaXN0ZXIta3QtcmFtYS1yYW_SAQA?hl=en-IN&gl=IN&ceid=IN%3Aen'}
Why DBT schemes need to fix the problem of tenant farmers,{'https://news.google.com/articles/CBMiggFodHRwczovL2luZGlhbmV4cHJlc3MuY29tL2FydGljbGUvZXhwbGFpbmVkL2V4cGxhaW5lZC1lY29ub21pY3Mvd2h5LWRidC1zY2hlbWVzLW5lZWQtdG8tZml4LXRoZS1wcm9ibGVtLW9mLXRlbmFudC1mYXJtZXJzLTgyOTMyODAv0gEA?hl=en-IN&gl=IN&ceid=IN%3Aen'}
Telangana schemes implemented in different names across India: Niranjan Reddy,{'https://news.google.com/articles/CBMiZ2h0dHBzOi8vdGVsYW5nYW5hdG9kYXkuY29tL3RlbGFuZ2FuYS1zY2hlbWVzLWltcGxlbWVudGVkLWluLWRpZmZlcmVudC1uYW1lcy1hY3Jvc3MtaW5kaWEtbmlyYW5qYW4tcmVkZHnSAQA?hl=en-IN&gl=IN&ceid=IN%3Aen'}
Editorial: Follow science,{'https://news.google.com/articles/CBMiM2h0dHBzOi8vdGVsYW5nYW5hdG9kYXkuY29tL2VkaXRvcmlhbC1mb2xsb3ctc2NpZW5jZdIBAA?hl=en-IN&gl=IN&ceid=IN%3Aen'}
PM Kisan: 6.65 Lakh Farmers Missed Benefits of the Scheme; Know Why?,{'https://news.google.com/articles/CBMibGh0dHBzOi8va3Jpc2hpamFncmFuLmNvbS9hZ3JpY3VsdHVyZS13b3JsZC9wbS1raXNhbi02NjUtbGFraC1mYXJtZXJzLW1pc3NlZC1iZW5lZml0cy1vZi10aGUtc2NoZW1lLWtub3ctd2h5L9IBcmh0dHBzOi8va3Jpc2hpamFncmFuLmNvbS9hZ3JpY3VsdHVyZS13b3JsZC9wbS1raXNhbi02NjUtbGFraC1mYXJtZXJzLW1pc3NlZC1iZW5lZml0cy1vZi10aGUtc2NoZW1lLWtub3ctd2h5Lz9hbXA9MQ?hl=en-IN&gl=IN&ceid=IN%3Aen'}
Telangana Govt at brisk pace to complete market construction in Koheda,{'https://news.google.com/articles/CBMigAFodHRwczovL3d3dy50aGVoYW5zaW5kaWEuY29tL25ld3MvY2l0aWVzL2h5ZGVyYWJhZC90ZWxhbmdhbmEtZ292dC1hdC1icmlzay1wYWNlLXRvLWNvbXBsZXRlLW1hcmtldC1jb25zdHJ1Y3Rpb24taW4ta29oZWRhLTc2ODU1MdIBhAFodHRwczovL3d3dy50aGVoYW5zaW5kaWEuY29tL2FtcC9uZXdzL2NpdGllcy9oeWRlcmFiYWQvdGVsYW5nYW5hLWdvdnQtYXQtYnJpc2stcGFjZS10by1jb21wbGV0ZS1tYXJrZXQtY29uc3RydWN0aW9uLWluLWtvaGVkYS03Njg1NTE?hl=en-IN&gl=IN&ceid=IN%3Aen'}
TS gets approval for three new irrigation projects,{'https://news.google.com/articles/CBMidWh0dHBzOi8vd3d3LmRlY2NhbmNocm9uaWNsZS5jb20vbmF0aW9uL2N1cnJlbnQtYWZmYWlycy8zMDExMjIvdHMtZ2V0cy1hcHByb3ZhbC1mb3ItdGhyZWUtbmV3LWlycmlnYXRpb24tcHJvamVjdHMuaHRtbNIBAA?hl=en-IN&gl=IN&ceid=IN%3Aen'}
"Origo Commodities, Vivriti Capital launch eMandi Cash; To help Farmers and FPOs",{'https://news.google.com/articles/CBMidWh0dHBzOi8va3Jpc2hpamFncmFuLmNvbS9pbmR1c3RyeS1uZXdzL29yaWdvLWNvbW1vZGl0aWVzLXZpdnJpdGktY2FwaXRhbC1sYXVuY2gtZW1hbmRpLWNhc2gtdG8taGVscC1mYXJtZXJzLWFuZC1mcG9zL9IBe2h0dHBzOi8va3Jpc2hpamFncmFuLmNvbS9pbmR1c3RyeS1uZXdzL29yaWdvLWNvbW1vZGl0aWVzLXZpdnJpdGktY2FwaXRhbC1sYXVuY2gtZW1hbmRpLWNhc2gtdG8taGVscC1mYXJtZXJzLWFuZC1mcG9zLz9hbXA9MQ?hl=en-IN&gl=IN&ceid=IN%3Aen'}
Telangana Agriculture Minister terms MSP hike “too little”,{'https://news.google.com/articles/CBMifWh0dHBzOi8vd3d3LnRoZWhpbmR1LmNvbS9uZXdzL25hdGlvbmFsL3RlbGFuZ2FuYS90ZWxhbmdhbmEtYWdyaWN1bHR1cmUtbWluaXN0ZXItdGVybXMtbXNwLWhpa2UtdG9vLWxpdHRsZS9hcnRpY2xlNjU1MTA2NjMuZWNl0gGCAWh0dHBzOi8vd3d3LnRoZWhpbmR1LmNvbS9uZXdzL25hdGlvbmFsL3RlbGFuZ2FuYS90ZWxhbmdhbmEtYWdyaWN1bHR1cmUtbWluaXN0ZXItdGVybXMtbXNwLWhpa2UtdG9vLWxpdHRsZS9hcnRpY2xlNjU1MTA2NjMuZWNlL2FtcC8?hl=en-IN&gl=IN&ceid=IN%3Aen'}
Telangana Today Impact: HORTICET ranker gets financial help from Medak MP to pay fees,{'https://news.google.com/articles/CBMib2h0dHBzOi8vdGVsYW5nYW5hdG9kYXkuY29tL3RlbGFuZ2FuYS10b2RheS1pbXBhY3QtaG9ydGljZXQtcmFua2VyLWdldHMtZmluYW5jaWFsLWhlbHAtZnJvbS1tZWRhay1tcC10by1wYXktZmVlc9IBAA?hl=en-IN&gl=IN&ceid=IN%3Aen'}
Telangana draft policy to monetize agricultural data: Here's what to know,{'https://news.google.com/articles/CBMiW2h0dHBzOi8vd3d3Lm1lZGlhbmFtYS5jb20vMjAyMi8wNy8yMjMtc3VtbWFyeS10ZWxhbmdhbmEtYWdyaWN1bHR1cmUtZGF0YS1tYW5hZ2VtZW50LXBvbGljeS_SAQA?hl=en-IN&gl=IN&ceid=IN%3Aen'}
TAFE opens JFarm at Telangana State Agriculture University,{'https://news.google.com/articles/CBMijwFodHRwczovL3RpbWVzb2ZpbmRpYS5pbmRpYXRpbWVzLmNvbS9idXNpbmVzcy9pbmRpYS1idXNpbmVzcy90YWZlLW9wZW5zLWpmYXJtLWF0LXRlbGFuZ2FuYS1zdGF0ZS1hZ3JpY3VsdHVyZS11bml2ZXJzaXR5L2FydGljbGVzaG93LzkzMTYwODMyLmNtc9IBigFodHRwczovL20udGltZXNvZmluZGlhLmNvbS9idXNpbmVzcy9pbmRpYS1idXNpbmVzcy90YWZlLW9wZW5zLWpmYXJtLWF0LXRlbGFuZ2FuYS1zdGF0ZS1hZ3JpY3VsdHVyZS11bml2ZXJzaXR5L2FtcF9hcnRpY2xlc2hvdy85MzE2MDgzMi5jbXM?hl=en-IN&gl=IN&ceid=IN%3Aen'}
Bengaluru IISc to create Agricultural Data Exchange for farmer services in Telangana,{'https://news.google.com/articles/CBMif2h0dHBzOi8vaW5kaWFuZXhwcmVzcy5jb20vYXJ0aWNsZS9jaXRpZXMvYmFuZ2Fsb3JlL2JlbmdhbHVydS1paXNjLWFncmljdWx0dXJhbC1kYXRhLWV4Y2hhbmdlLWZhcm1lci1zZXJ2aWNlcy10ZWxhbmdhbmEtODEzMjIwOS_SAQA?hl=en-IN&gl=IN&ceid=IN%3Aen'}
Telangana: 90 students take admissions in Mancherial Medical College,{'https://news.google.com/articles/CBMiXmh0dHBzOi8vdGVsYW5nYW5hdG9kYXkuY29tL3RlbGFuZ2FuYS05MC1zdHVkZW50cy10YWtlLWFkbWlzc2lvbnMtaW4tbWFuY2hlcmlhbC1tZWRpY2FsLWNvbGxlZ2XSAQA?hl=en-IN&gl=IN&ceid=IN%3Aen'}
Telangana revolutionises farming with developmental programmes’,{'https://news.google.com/articles/CBMiXmh0dHBzOi8vd3d3LnNpYXNhdC5jb20vdGVsYW5nYW5hLXJldm9sdXRpb25pc2VzLWZhcm1pbmctd2l0aC1kZXZlbG9wbWVudGFsLXByb2dyYW1tZXMtMjM5OTIwOS_SAWJodHRwczovL3d3dy5zaWFzYXQuY29tL3RlbGFuZ2FuYS1yZXZvbHV0aW9uaXNlcy1mYXJtaW5nLXdpdGgtZGV2ZWxvcG1lbnRhbC1wcm9ncmFtbWVzLTIzOTkyMDkvYW1wLw?hl=en-IN&gl=IN&ceid=IN%3Aen'}
Khammam: Stinking nala to turn public hotspot,{'https://news.google.com/articles/CBMiR2h0dHBzOi8vdGVsYW5nYW5hdG9kYXkuY29tL2toYW1tYW0tc3RpbmtpbmctbmFsYS10by10dXJuLXB1YmxpYy1ob3RzcG900gEA?hl=en-IN&gl=IN&ceid=IN%3Aen'}
Telangana: Draft of Agriculture Data Management Policy 2022 released,{'https://news.google.com/articles/CBMiXmh0dHBzOi8vdGVsYW5nYW5hdG9kYXkuY29tL3RlbGFuZ2FuYS1kcmFmdC1vZi1hZ3JpY3VsdHVyZS1kYXRhLW1hbmFnZW1lbnQtcG9saWN5LTIwMjItcmVsZWFzZWTSAQA?hl=en-IN&gl=IN&ceid=IN%3Aen'}
"Telangana secures top position, registers double growth in Agriculture",{'https://news.google.com/articles/CBMiYGh0dHBzOi8vdGVsYW5nYW5hdG9kYXkuY29tL3RlbGFuZ2FuYS1zZWN1cmVzLXRvcC1wb3NpdGlvbi1yZWdpc3RlcnMtZG91YmxlLWdyb3d0aC1pbi1hZ3JpY3VsdHVyZdIBAA?hl=en-IN&gl=IN&ceid=IN%3Aen'}
Telangana agriculture minister dares Centre to declare amendments to employment guarantee scheme,{'https://news.google.com/articles/CBMiqwFodHRwczovL3d3dy5uZXdpbmRpYW5leHByZXNzLmNvbS9zdGF0ZXMvdGVsYW5nYW5hLzIwMjIvanVuLzI5L3RlbGFuZ2FuYS1hZ3JpY3VsdHVyZS1taW5pc3Rlci1kYXJlcy1jZW50cmUtdG8tZGVjbGFyZS1hbWVuZG1lbnRzLXRvLWVtcGxveW1lbnQtZ3VhcmFudGVlLXNjaGVtZS0yNDcxMDY0Lmh0bWzSAaoBaHR0cHM6Ly93d3cubmV3aW5kaWFuZXhwcmVzcy5jb20vc3RhdGVzL3RlbGFuZ2FuYS8yMDIyL2p1bi8yOS90ZWxhbmdhbmEtYWdyaWN1bHR1cmUtbWluaXN0ZXItZGFyZXMtY2VudHJlLXRvLWRlY2xhcmUtYW1lbmRtZW50cy10by1lbXBsb3ltZW50LWd1YXJhbnRlZS1zY2hlbWUtMjQ3MTA2NC5hbXA?hl=en-IN&gl=IN&ceid=IN%3Aen'}
"As State schemes help them, Telangana farmers become owners of most expensive agricultural land",{'https://news.google.com/articles/CBMieWh0dHBzOi8vdGVsYW5nYW5hdG9kYXkuY29tL2FzLXN0YXRlLXNjaGVtZXMtaGVscC10aGVtLXRlbGFuZ2FuYS1mYXJtZXJzLWJlY29tZS1vd25lcnMtb2YtbW9zdC1leHBlbnNpdmUtYWdyaWN1bHR1cmFsLWxhbmTSAQA?hl=en-IN&gl=IN&ceid=IN%3Aen'}
Agriculture has seen turnaround in Telangana due to efforts of state govt: Srinivas Goud,{'https://news.google.com/articles/CBMid2h0dHBzOi8vd3d3LnNpYXNhdC5jb20vYWdyaWN1bHR1cmUtaGFzLXNlZW4tdHVybmFyb3VuZC1pbi10ZWxhbmdhbmEtZHVlLXRvLWVmZm9ydHMtb2Ytc3RhdGUtZ292dC1zcmluaXZhcy1nb3VkLTIzNTY4NzYv0gF7aHR0cHM6Ly93d3cuc2lhc2F0LmNvbS9hZ3JpY3VsdHVyZS1oYXMtc2Vlbi10dXJuYXJvdW5kLWluLXRlbGFuZ2FuYS1kdWUtdG8tZWZmb3J0cy1vZi1zdGF0ZS1nb3Z0LXNyaW5pdmFzLWdvdWQtMjM1Njg3Ni9hbXAv?hl=en-IN&gl=IN&ceid=IN%3Aen'}
Farmers demand for adoption of Telangana model for sustainable agriculture,{'https://news.google.com/articles/CBMiZWh0dHBzOi8vdGVsYW5nYW5hdG9kYXkuY29tL2Zhcm1lcnMtZGVtYW5kLWZvci1hZG9wdGlvbi1vZi10ZWxhbmdhbmEtbW9kZWwtZm9yLXN1c3RhaW5hYmxlLWFncmljdWx0dXJl0gEA?hl=en-IN&gl=IN&ceid=IN%3Aen'}
